,Quarter,Time,Tm,Detail,CAR,BAL
0,2.0,13:12,Ravens,Steve Smith 61 yard pass from Joe Flacco (Justin Tucker kick),0,7
1,2.0,8:35,Panthers,Kelvin Benjamin 28 yard pass from Cam Newton (Graham Gano kick),7,7
2,2.0,5:22,Ravens,Justin Forsett 11 yard rush (Justin Tucker kick),7,14
3,2.0,1:53,Ravens,Steve Smith 21 yard pass from Joe Flacco (Justin Tucker kick),7,21
4,3.0,9:51,Ravens,Torrey Smith 24 yard pass from Joe Flacco (Justin Tucker kick),7,28
5,3.0,3:30,Panthers,Graham Gano 37 yard field goal,10,28
6,4.0,11:34,Ravens,Lorenzo Taliaferro 1 yard rush (Justin Tucker kick),10,35
7,4.0,3:33,Ravens,Justin Tucker 30 yard field goal,10,38
