,Quarter,Time,Tm,Detail,ATL,STL
0,1.0,,Rams,Eddie Kennison 78 yard punt return (Chip Lohmiller kick),0,7
1,1.0,,Rams,Isaac Bruce 22 yard pass from Tony Banks (Chip Lohmiller kick),0,14
2,2.0,,Rams,Lawrence Phillips 1 yard rush (Chip Lohmiller kick),0,21
3,2.0,,Rams,Toby Wright 19 yard interception return (Chip Lohmiller kick),0,28
4,2.0,,Falcons,J.J. Birden 18 yard pass from Bobby Hebert (Morten Andersen kick),7,28
5,2.0,,Rams,Chip Lohmiller 42 yard field goal,7,31
6,3.0,,Falcons,Jamal Anderson 2 yard pass from Bobby Hebert,13,31
7,3.0,,Rams,Eddie Kennison 1 yard pass from Tony Banks (Chip Lohmiller kick),13,38
8,3.0,,Falcons,Morten Andersen 47 yard field goal,16,38
9,4.0,,Rams,Harold Green 1 yard rush (Chip Lohmiller kick),16,45
10,4.0,,Rams,Harold Green 35 yard rush (Chip Lohmiller kick),16,52
11,4.0,,Rams,Greg Robinson 13 yard rush (Chip Lohmiller kick),16,59
