,Quarter,Time,Tm,Detail,NOR,TAM
0,1.0,5:37,Saints,Garrett Hartley 47 yard field goal,3,0
1,2.0,14:50,Buccaneers,Matt Bryant 38 yard field goal,3,3
2,2.0,2:34,Buccaneers,Matt Bryant 23 yard field goal,3,6
3,2.0,0:33,Saints,Lance Moore 13 yard pass from Drew Brees (Garrett Hartley kick),10,6
4,3.0,10:14,Buccaneers,Cadillac Williams 8 yard rush (Matt Bryant kick),10,13
5,3.0,8:36,Buccaneers,Antonio Bryant 39 yard pass from Jeff Garcia (Matt Bryant kick),10,20
6,4.0,12:09,Saints,Pierre Thomas 20 yard pass from Drew Brees (Garrett Hartley kick),17,20
7,4.0,5:34,Saints,Garrett Hartley 43 yard field goal,20,20
8,4.0,1:55,Buccaneers,Matt Bryant 37 yard field goal,20,23
