,Quarter,Time,Tm,Detail,KAN,NYJ
0,2.0,8:40,Jets,Curtis Martin 1 yard rush (John Hall kick),0,7
1,2.0,0:24,Jets,Curtis Martin 25 yard rush (John Hall kick),0,14
2,3.0,12:09,Jets,John Hall 51 yard field goal,0,17
3,3.0,6:40,Jets,Curtis Martin 5 yard rush (John Hall kick),0,24
4,3.0,2:06,Jets,John Hall 31 yard field goal,0,27
5,4.0,9:14,Chiefs,Tony Gonzalez 6 yard pass from Trent Green (Todd Peterson kick),7,27
