,Quarter,Tm,Detail,RAM,NOR
0,2.0,Rams,"Safety, Jack Youngblood tackled Manning in end zone",2,0
1,3.0,Rams,Jim Peterson 67 yard defensive fumble return,8,0
2,3.0,Rams,Tom Dempsey 47 yard field goal,11,0
3,4.0,Saints,Rod McNeill 5 yard pass from Archie Manning (Rich Szaro kick),11,7
4,4.0,Rams,Tom Dempsey 37 yard field goal,14,7
