,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Leroy Hoard 8 yard pass from Bernie Kosar (Matt Stover kick),0,7
1,2.0,Oilers,Ernest Givins 7 yard pass from Warren Moon (Al Del Greco kick),7,7
2,2.0,Browns,Brian Brennan 8 yard pass from Bernie Kosar (Matt Stover kick),7,14
3,2.0,Oilers,Al Del Greco 27 yard field goal,10,14
4,4.0,Oilers,Haywood Jeffires 2 yard pass from Warren Moon (Al Del Greco kick),17,14
