,Quarter,Tm,Detail,SFO,MIN
0,1.0,49ers,Bruce Gossett 44 yard field goal,3,0
1,1.0,Vikings,Fred Cox 18 yard field goal,3,3
2,2.0,49ers,Bruce Gossett 12 yard field goal,6,3
3,3.0,Vikings,Fred Cox 16 yard field goal,6,6
4,4.0,49ers,Gene Washington 6 yard pass from John Brodie (Bruce Gossett kick),13,6
5,4.0,Vikings,Fred Cox 27 yard field goal,13,9
