,Quarter,Tm,Detail,STL,NYG
0,1.0,Giants,Aaron Thomas 3 yard pass from Fran Tarkenton (Pete Gogolak kick),0,7
1,1.0,Cardinals,Jim Bakken 25 yard field goal,3,7
2,1.0,Giants,Bob Tucker 41 yard pass from Fran Tarkenton (Pete Gogolak kick),3,14
3,2.0,Giants,Clifton McNeil 13 yard pass from Fran Tarkenton (Pete Gogolak kick),3,21
4,2.0,Cardinals,MacArthur Lane 1 yard rush (Jim Bakken kick),10,21
5,4.0,Giants,Bob Tucker 17 yard pass from Fran Tarkenton (Pete Gogolak kick),10,28
6,4.0,Cardinals,Dave Williams 34 yard pass from Jim Hart (Jim Bakken kick),17,28
7,4.0,Giants,Don Herrmann 6 yard pass from Fran Tarkenton (Pete Gogolak kick),17,35
