,Quarter,Tm,Detail,RAM,BAL
0,1.0,Rams,Bruce Gossett 8 yard field goal,3,0
1,2.0,Rams,Bruce Gossett 33 yard field goal,6,0
2,2.0,Rams,Jim Stiger 12 yard pass from Roman Gabriel (Bruce Gossett kick),13,0
3,3.0,Rams,Bruce Gossett 15 yard field goal,16,0
4,4.0,Rams,Clancy Williams 32 yard interception return (Bruce Gossett kick),23,0
5,4.0,Colts,Tom Matte 2 yard pass from Gary Cuozzo (Lou Michaels kick),23,7
