,Quarter,Tm,Detail,NOR,IND
0,2.0,Saints,Mike Jones 18 yard pass from Dave Wilson (Morten Andersen kick),7,0
1,2.0,Saints,Morten Andersen 46 yard field goal,10,0
2,3.0,Saints,Buford Jordan 9 yard rush (Morten Andersen kick),17,0
3,3.0,Colts,Matt Bouza 24 yard pass from Jack Trudeau (Dean Biasucci kick),17,7
4,4.0,Colts,Matt Bouza 16 yard pass from Jack Trudeau (Dean Biasucci kick),17,14
