,Quarter,Time,Tm,Detail,CIN,GNB
0,1.0,8:31,Bengals,Laveranues Coles 5 yard pass from Carson Palmer (Shayne Graham kick),7,0
1,1.0,3:23,Packers,Donald Driver 3 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2,1.0,2:22,Packers,Ryan Grant 4 yard rush (Mason Crosby kick),7,14
3,2.0,10:21,Bengals,Carson Palmer 1 yard rush (Shayne Graham kick),14,14
4,2.0,7:46,Packers,Charles Woodson 37 yard interception return (Mason Crosby kick),14,21
5,2.0,1:24,Bengals,Chris Henry 5 yard pass from Carson Palmer (Shayne Graham kick),21,21
6,3.0,1:09,Bengals,Chad Johnson 13 yard pass from Carson Palmer (Shayne Graham kick),28,21
7,4.0,1:56,Bengals,Shayne Graham 40 yard field goal,31,21
8,4.0,0:45,Packers,Mason Crosby 45 yard field goal,31,24
