,Quarter,Time,Tm,Detail,DAL,PHI
0,2,4:42,Cowboys,Emmitt Smith 7 yard rush (Tim Seder kick),7,0
1,3,1:58,Cowboys,Tim Seder 48 yard field goal,10,0
2,4,13:00,Eagles,David Akers 34 yard field goal,10,3
3,4,7:38,Eagles,Darnell Autry 23 yard pass from Donovan McNabb (David Akers kick),10,10
4,4,1:51,Cowboys,Tim Seder 27 yard field goal,13,10
5,4,0:11,Eagles,David Akers 34 yard field goal,13,13
6,OT,7:05,Eagles,David Akers 32 yard field goal,13,16
