,Quarter,Time,Tm,Detail,MIA,NYJ
0,1.0,0:50,Dolphins,Lamar Smith 14 yard pass from Jay Fiedler (Olindo Mare kick),7,0
1,2.0,9:24,Dolphins,Travis Minor 29 yard rush (Olindo Mare kick),14,0
2,2.0,0:00,Dolphins,Olindo Mare 26 yard field goal,17,0
3,3.0,11:32,Jets,Laveranues Coles 22 yard pass from Vinny Testaverde (John Hall kick),17,7
4,3.0,11:04,Jets,Curtis Martin 27 yard rush (John Hall kick),17,14
5,4.0,12:08,Jets,Laveranues Coles 25 yard pass from Vinny Testaverde (John Hall kick),17,21
