,Quarter,Tm,Detail,STL,NOR
0,1.0,Cardinals,Wayne Morris 1 yard rush (Neil O'Donoghue kick),7,0
1,3.0,Cardinals,Ottis Anderson 5 yard rush (Neil O'Donoghue kick),14,0
2,4.0,Cardinals,Pat Tilley 12 yard pass from Neil Lomax (Neil O'Donoghue kick),21,0
3,4.0,Saints,Kenny Duckett 23 yard pass from Ken Stabler (Russell Erxleben kick),21,7
