,Quarter,Time,Tm,Detail,CLE,SEA
0,1.0,8:07,Browns,Gary Barnidge 7 yard pass from Johnny Manziel (Travis Coons kick),7,0
1,1.0,0:43,Seahawks,Doug Baldwin 3 yard pass from Russell Wilson (Stephen Hauschka kick),7,7
2,2.0,9:56,Seahawks,Doug Baldwin 6 yard pass from Russell Wilson (Stephen Hauschka kick),7,14
3,2.0,6:31,Browns,Travis Coons 34 yard field goal,10,14
4,2.0,0:55,Seahawks,Stephen Hauschka 49 yard field goal,10,17
5,2.0,0:00,Seahawks,Stephen Hauschka 27 yard field goal,10,20
6,4.0,14:54,Seahawks,Tyler Lockett 27 yard pass from Russell Wilson (Stephen Hauschka kick),10,27
7,4.0,9:02,Browns,Travis Coons 37 yard field goal,13,27
8,4.0,3:34,Seahawks,Stephen Hauschka 30 yard field goal,13,30
