,Quarter,Time,Tm,Detail,SEA,KAN
0,1.0,,Chiefs,Pete Stoyanovich 45 yard field goal,0,3
1,1.0,,Chiefs,Kimble Anders 15 yard rush (Pete Stoyanovich kick),0,10
2,2.0,,Chiefs,Marcus Allen 1 yard rush (Pete Stoyanovich kick),0,17
3,2.0,,Seahawks,Todd Peterson 24 yard field goal,3,17
4,2.0,,Chiefs,Pete Stoyanovich 43 yard field goal,3,20
5,3.0,,Seahawks,Chris Warren 50 yard rush (Todd Peterson kick),10,20
6,3.0,,Chiefs,Marcus Allen 1 yard rush (Pete Stoyanovich kick),10,27
7,4.0,,Chiefs,Sean LaChapelle 4 yard pass from Steve Bono (Pete Stoyanovich kick),10,34
8,4.0,,Seahawks,Joey Galloway 16 yard pass from John Friesz (run failed),16,34
