,Quarter,Tm,Detail,DEN,PIT
0,2.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),7,0
1,2.0,Steelers,Franco Harris 4 yard rush (Gary Anderson kick),7,7
2,3.0,Steelers,Gary Anderson 31 yard field goal,7,10
3,4.0,Broncos,Ron Egloff 2 yard pass from Steve DeBerg (Rich Karlis kick),14,10
