,Quarter,Tm,Detail,PIT,BOS
0,1.0,Redskins,Cliff Battles 2 yard rush,0,7
1,2.0,Redskins,Sam Busich 14 yard field goal,0,10
2,2.0,Redskins,Victor Carroll 35 yard interception return (Sam Busich kick),0,17
3,4.0,Redskins,Flavio Tosi fumble recovery in end zone,0,24
4,4.0,Redskins,Don Irwin 24 yard rush,0,30
