,Quarter,Time,Tm,Detail,NYG,GNB
0,1.0,,Packers,Mark Ingram 11 yard pass from Brett Favre (Craig Hentrich kick),0,7
1,2.0,,Packers,Robert Brooks 19 yard pass from Brett Favre (Craig Hentrich kick),0,14
2,2.0,,Giants,Brad Daluiso 37 yard field goal,3,14
3,4.0,,Giants,Brad Daluiso 32 yard field goal,6,14
