,Quarter,Time,Tm,Detail,SEA,PHI
0,1.0,1:34,Seahawks,Jason Myers 49 yard field goal,3,0
1,2.0,2:58,Eagles,Jake Elliott 46 yard field goal,3,3
2,2.0,1:11,Seahawks,Marshawn Lynch 5 yard rush (Jason Myers kick),10,3
3,3.0,10:39,Eagles,Jake Elliott 26 yard field goal,10,6
4,3.0,8:55,Seahawks,D.K. Metcalf 53 yard pass from Russell Wilson (Jason Myers kick),17,6
5,3.0,2:53,Eagles,Jake Elliott 38 yard field goal,17,9
