,Quarter,Time,Tm,Detail,ATL,SFO
0,1.0,,Falcons,Morten Andersen 20 yard field goal,3,0
1,1.0,,49ers,Jeff Wilkins 21 yard field goal,3,3
2,1.0,,49ers,Jeff Wilkins 43 yard field goal,3,6
3,2.0,,49ers,Marquez Pope 55 yard interception return (Jeff Wilkins kick),3,13
4,2.0,,49ers,Jerry Rice 24 yard pass from Terry Kirby (Jeff Wilkins kick),3,20
5,2.0,,49ers,Ted Popson 16 yard pass from Elvis Grbac (Jeff Wilkins kick),3,27
6,3.0,,49ers,Jeff Wilkins 46 yard field goal,3,30
7,3.0,,49ers,Jeff Wilkins 29 yard field goal,3,33
8,3.0,,Falcons,Tyrone Brown 22 yard pass from Bobby Hebert (Morten Andersen kick),10,33
9,3.0,,49ers,Jeff Wilkins 29 yard field goal,10,36
10,4.0,,49ers,Jeff Wilkins 38 yard field goal,10,39
11,4.0,,Falcons,Roell Preston 17 yard pass from Bobby Hebert (Morten Andersen kick),17,39
