,Quarter,Time,Tm,Detail,NOR,MIA
0,1.0,,Saints,Doug Brien 43 yard field goal,3,0
1,2.0,,Dolphins,Olindo Mare 27 yard field goal,3,3
2,2.0,,Saints,Rob Kelly 79 yard interception return (Doug Brien kick),10,3
3,2.0,2:00,Dolphins,O.J. McDuffie 22 yard pass from Dan Marino (Olindo Mare kick),10,10
4,2.0,0:45,Dolphins,Olindo Mare 32 yard field goal,10,13
5,3.0,0:45,Dolphins,Olindo Mare 34 yard field goal,10,16
6,4.0,0:45,Dolphins,O.J. McDuffie 7 yard pass from Dan Marino (Olindo Mare kick),10,23
7,4.0,0:45,Dolphins,O.J. McDuffie 9 yard pass from Dan Marino (Olindo Mare kick),10,30
