,Quarter,Tm,Detail,CIN,IND
0,1.0,Bengals,James Brooks 18 yard pass from Boomer Esiason (Jim Breech kick),7,0
1,1.0,Bengals,Rodney Holman 61 yard pass from Boomer Esiason,13,0
2,1.0,Colts,Bill Brooks 52 yard pass from Jack Trudeau (Dean Biasucci kick),13,7
3,3.0,Colts,Albert Bentley 2 yard rush (Dean Biasucci kick),13,14
4,4.0,Bengals,Jim Breech 20 yard field goal,16,14
5,4.0,Bengals,James Brooks 1 yard rush (Jim Breech kick),23,14
6,4.0,Colts,Tim Sherwin 1 yard pass from Jack Trudeau (Dean Biasucci kick),23,21
