,Quarter,Tm,Detail,NYG,CLE
0,2.0,Browns,Sam Baker 21 yard field goal,0,3
1,2.0,Browns,Sam Baker 22 yard field goal,0,6
2,2.0,Giants,Pat Summerall 15 yard field goal,3,6
3,2.0,Giants,Mel Triplett 1 yard rush (Pat Summerall kick),10,6
4,3.0,Browns,Ray Renfro 6 yard pass from Milt Plum (Sam Baker kick),10,13
5,3.0,Giants,Frank Gifford 6 yard rush (Pat Summerall kick),17,13
