,Quarter,Tm,Detail,SEA,GNB
0,1.0,Packers,Steve Odom 95 yard kickoff return (Chester Marcol kick),0,7
1,1.0,Packers,James Lofton 24 yard pass from David Whitehurst (Chester Marcol kick),0,14
2,1.0,Packers,Terdell Middleton 5 yard rush (Chester Marcol kick),0,21
3,1.0,Packers,Terdell Middleton 14 yard rush (Chester Marcol kick),0,28
4,2.0,Seahawks,Jim Zorn 12 yard rush (Efren Herrera kick),7,28
5,2.0,Seahawks,Steve Largent 48 yard pass from Jim Zorn (Efren Herrera kick),14,28
6,2.0,Packers,Chester Marcol 22 yard field goal,14,31
7,3.0,Packers,Terdell Middleton 2 yard rush (Chester Marcol kick),14,38
8,3.0,Seahawks,Sherman Smith 9 yard rush (Efren Herrera kick),21,38
9,3.0,Packers,Terdell Middleton 9 yard rush (Chester Marcol kick),21,45
10,4.0,Seahawks,David Sims 2 yard rush (Efren Herrera kick),28,45
