,Quarter,Tm,Detail,NWE,BAL
0,1.0,Colts,Joe Washington 8 yard rush (Steve Mike-Mayer run),0,7
1,1.0,Patriots,Stanley Morgan 56 yard pass from Steve Grogan,6,7
2,1.0,Colts,Don Hardeman 4 yard rush (Steve Mike-Mayer kick),6,14
3,1.0,Patriots,Stanley Morgan 27 yard pass from Steve Grogan (John Smith kick),13,14
4,2.0,Colts,Steve Mike-Mayer 37 yard field goal,13,17
5,3.0,Colts,Joe Washington 7 yard pass from Bert Jones (Steve Mike-Mayer kick),13,24
6,3.0,Patriots,John Smith 42 yard field goal,16,24
7,3.0,Patriots,John Smith 39 yard field goal,19,24
8,4.0,Patriots,Steve Grogan 8 yard rush (John Smith kick),26,24
9,4.0,Colts,Joe Washington 12 yard rush (Steve Mike-Mayer kick),26,31
