,Quarter,Tm,Detail,CLE,NYG
0,1.0,Browns,Lou Groza 24 yard field goal,3,0
1,1.0,Giants,Tucker Frederickson 1 yard rush (Bob Timberlake kick),3,7
2,2.0,Browns,Walter Roberts 21 yard pass from Frank Ryan (Lou Groza kick),10,7
3,2.0,Browns,Walter Roberts 4 yard pass from Frank Ryan (Lou Groza kick),17,7
4,3.0,Browns,Gary Collins 39 yard pass from Jim Brown (Lou Groza kick),24,7
5,3.0,Browns,Jim Brown 5 yard pass from Frank Ryan (Lou Groza kick),31,7
6,4.0,Browns,Ernie Green 1 yard rush (Lou Groza kick),38,7
7,4.0,Giants,Chuck Mercein 2 yard rush (Bob Timberlake kick),38,14
