,Quarter,Time,Tm,Detail,GNB,WAS
0,1.0,12:54,Redskins,Paul Richardson 46 yard pass from Alex Smith (Dustin Hopkins kick),0,7
1,1.0,2:14,Redskins,Adrian Peterson 2 yard rush (Dustin Hopkins kick),0,14
2,2.0,12:52,Packers,Mason Crosby 41 yard field goal,3,14
3,2.0,4:26,Redskins,Jamison Crowder 9 yard pass from Alex Smith (Dustin Hopkins kick),3,21
4,2.0,2:15,Packers,Geronimo Allison 64 yard pass from Aaron Rodgers (Mason Crosby kick),10,21
5,2.0,0:21,Redskins,Adrian Peterson 2 yard rush (Dustin Hopkins kick),10,28
6,3.0,7:58,Packers,Davante Adams 2 yard pass from Aaron Rodgers (Mason Crosby kick),17,28
7,4.0,1:58,Redskins,Dustin Hopkins 35 yard field goal,17,31
