,Quarter,Time,Tm,Detail,TAM,SEA
0,1.0,10:40,Seahawks,Todd Peterson 25 yard field goal,0,3
1,2.0,14:51,Buccaneers,Martin Gramatica 42 yard field goal,3,3
2,2.0,1:08,Buccaneers,Martin Gramatica 40 yard field goal,6,3
3,4.0,12:21,Buccaneers,Patrick Hape 2 yard pass from Shaun King (Martin Gramatica kick),13,3
4,4.0,9:00,Buccaneers,Martin Gramatica 37 yard field goal,16,3
