,Quarter,Tm,Detail,NYG,BKN
0,1.0,Giants,Jim Poole 38 yard pass from Hank Soar (Tillie Manton kick),7,0
1,1.0,Dodgers,Joe Maniaci 3 yard rush (Joe Maniaci kick),7,7
2,2.0,Dodgers,Ralph Kercheval 34 yard field goal,7,10
3,3.0,Giants,Tillie Manton 28 yard field goal,10,10
4,4.0,Dodgers,Ralph Kercheval 30 yard field goal,10,13
5,4.0,Giants,Tillie Manton 15 yard field goal,13,13
