,Quarter,Tm,Detail,NYG,CHI
0,1.0,Bears,Gary Famiglietti 1 yard rush,0,6
1,1.0,Giants,Ward Cuff 15 yard pass from Tuffy Leemans (Ward Cuff kick),7,6
2,3.0,Bears,Hugh Gallarneau 8 yard rush (Lee Artoe kick),7,13
3,4.0,Bears,Gary Famiglietti 4 yard rush (Lee Artoe kick),7,20
4,4.0,Bears,Hampton Pool 52 yard pass from Sid Luckman,7,26
