,Quarter,Time,Tm,Detail,LAC,BUF
0,1.0,9:26,Chargers,Mike Williams 10 yard pass from Philip Rivers (Caleb Sturgis kick),7,0
1,1.0,4:18,Chargers,Melvin Gordon 20 yard rush (Caleb Sturgis kick),14,0
2,2.0,13:38,Bills,Stephen Hauschka 43 yard field goal,14,3
3,2.0,10:43,Chargers,Melvin Gordon 9 yard pass from Philip Rivers (Caleb Sturgis kick),21,3
4,2.0,1:55,Chargers,Melvin Gordon 2 yard pass from Philip Rivers (Caleb Sturgis kick),28,3
5,2.0,0:47,Bills,Stephen Hauschka 41 yard field goal,28,6
6,3.0,11:06,Bills,Chris Ivory 1 yard rush (Stephen Hauschka kick),28,13
7,4.0,3:50,Chargers,Caleb Sturgis 24 yard field goal,31,13
8,4.0,0:38,Bills,Kelvin Benjamin 3 yard pass from Josh Allen (Stephen Hauschka kick),31,20
