,Quarter,Time,Tm,Detail,NWE,BUF
0,1.0,,Bills,Steve Christie 31 yard field goal,0,3
1,2.0,,Bills,Steve Christie 20 yard field goal,0,6
2,2.0,,Patriots,Adam Vinatieri 38 yard field goal,3,6
3,3.0,,Bills,Jay Riemersma 10 yard pass from Doug Flutie (Steve Christie kick),3,13
4,4.0,,Patriots,Tony Simmons 37 yard pass from Drew Bledsoe (Adam Vinatieri kick),10,13
