,Quarter,Time,Tm,Detail,HOU,PIT
0,1.0,,Steelers,Gary Anderson 42 yard field goal,0,3
1,1.0,,Steelers,Gary Anderson 25 yard field goal,0,6
2,1.0,5:46,Steelers,Eric Green 3 yard pass from Neil O'Donnell (Gary Anderson kick),0,13
3,1.0,5:46,Steelers,Barry Foster 1 yard rush (Gary Anderson kick),0,20
4,2.0,5:46,Steelers,Gary Anderson 22 yard field goal,0,23
5,4.0,5:46,Steelers,Bam Morris 2 yard rush (Gary Anderson kick),0,30
6,4.0,5:46,Oilers,Ernest Givins 76 yard pass from Bucky Richardson (Al Del Greco kick),7,30
7,4.0,5:46,Oilers,Haywood Jeffires 2 yard pass from Bucky Richardson (Al Del Greco kick),14,30
