,Quarter,Tm,Detail,PHI,NYG
0,1.0,Eagles,Keith Krepfle 55 yard pass from Ron Jaworski (Horst Muhlmann kick),7,0
1,2.0,Eagles,Charlie Smith 28 yard pass from Ron Jaworski (Horst Muhlmann kick),14,0
2,2.0,Eagles,Herb Lusk 1 yard rush (Horst Muhlmann kick),21,0
3,2.0,Giants,Jim Robinson 80 yard pass from Joe Pisarcik (Joe Danelo kick),21,7
4,3.0,Giants,Joe Danelo 23 yard field goal,21,10
5,3.0,Eagles,Herb Lusk 70 yard rush (Horst Muhlmann kick),28,10
