,Quarter,Tm,Detail,NYY,RAM
0,1.0,Rams,Fred Gehrke 16 yard pass from Bob Waterfield (Bob Waterfield kick),0,7
1,1.0,Rams,Vitamin Smith 23 yard pass from Bob Waterfield (Bob Waterfield kick),0,14
2,2.0,Bulldogs,Ralph Heywood 21 yard pass from Bobby Layne (Nick Scollard kick),7,14
3,3.0,Rams,Tom Fears 30 yard pass from Bob Waterfield (Bob Waterfield kick),7,21
4,3.0,Bulldogs,Bobby Layne 1 yard rush,13,21
5,3.0,Rams,Tom Fears 31 yard pass from Bob Waterfield (Bob Waterfield kick),13,28
6,4.0,Rams,Tom Fears 15 yard pass from Bob Waterfield (Bob Waterfield kick),13,35
7,4.0,Bulldogs,Nick Scollard 5 yard pass from John Rauch (Nick Scollard kick),20,35
8,4.0,Rams,Don Currivan 40 yard pass from Norm Van Brocklin (Bob Waterfield kick),20,42
