,Quarter,Tm,Detail,TAM,PHO
0,2.0,Buccaneers,Bruce Hill 5 yard pass from Vinny Testaverde (Donald Igwebuike kick),7,0
1,2.0,Cardinals,Earl Ferrell 1 yard rush (Al Del Greco kick),7,7
2,2.0,Cardinals,Al Del Greco 21 yard field goal,7,10
3,3.0,Cardinals,Al Del Greco 28 yard field goal,7,13
4,4.0,Buccaneers,Mark Carrier 5 yard pass from Vinny Testaverde (Donald Igwebuike kick),14,13
