,Quarter,Tm,Detail,CRD,CLE
0,1.0,Browns,Jim Brown 3 yard rush (Lou Groza kick),0,7
1,1.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),0,14
2,2.0,Cardinals,Ollie Matson 14 yard rush (Bobby Joe Conrad kick),7,14
3,2.0,Browns,Bobby Mitchell 63 yard rush (Lou Groza kick),7,21
4,3.0,Cardinals,Gern Nagler 24 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),14,21
5,3.0,Browns,Milt Plum 1 yard rush (Lou Groza kick),14,28
6,4.0,Browns,Jim Brown 7 yard rush (Lou Groza kick),14,35
7,4.0,Cardinals,John David Crow 91 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),21,35
8,4.0,Cardinals,John David Crow 27 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),28,35
