,Quarter,Tm,Detail,CIN,CHI
0,1.0,Bears,Jack Manders 5 yard rush (Jack Manders kick),0,7
1,1.0,Bears,Beattie Feathers 34 yard rush (Jack Manders kick),0,14
2,1.0,Bears,Jack Manders 67 yard interception return (Jack Manders kick),0,21
3,2.0,Reds,Pete Saumer 11 yard rush (Biff Lee kick),7,21
4,2.0,Bears,Bernie Masterson 18 yard pass from Red Grange,7,27
5,2.0,Bears,Red Grange 10 yard pass from John Doehring (Jack Manders kick),7,34
6,3.0,Bears,Beattie Feathers 4 yard rush (Jack Manders kick),7,41
