,Quarter,Tm,Detail,KAN,SDG
0,1.0,Chiefs,Nick Lowery 41 yard field goal,3,0
1,2.0,Chiefs,Ethan Horton 2 yard pass from Bill Kenney (Nick Lowery kick),10,0
2,2.0,Chargers,Charlie Joiner 39 yard pass from Mark Herrmann (Bob Thomas kick),10,7
3,2.0,Chiefs,Carlos Carson 18 yard pass from Bill Kenney (Nick Lowery kick),17,7
4,2.0,Chargers,Gary Anderson 6 yard rush (Bob Thomas kick),17,14
5,2.0,Chargers,Bob Thomas 30 yard field goal,17,17
6,3.0,Chiefs,Nick Lowery 34 yard field goal,20,17
7,4.0,Chargers,Eric Sievers 10 yard pass from Mark Herrmann (Bob Thomas kick),20,24
8,4.0,Chargers,Tim Spencer 1 yard rush (Bob Thomas kick),20,31
