,Quarter,Tm,Detail,TAM,DEN
0,1.0,Broncos,Jim Turner 19 yard field goal,0,3
1,1.0,Broncos,Otis Armstrong 36 yard pass from Steve Ramsey (Jim Turner kick),0,10
2,2.0,Buccaneers,Louis Carter 3 yard rush (Dave Green kick),7,10
3,2.0,Buccaneers,Dave Green 45 yard field goal,10,10
4,3.0,Buccaneers,Dave Green 35 yard field goal,13,10
5,3.0,Broncos,Haven Moses 71 yard pass from Steve Ramsey (Jim Turner kick),13,17
6,3.0,Broncos,Randy Gradishar 31 yard interception return (Jim Turner kick),13,24
7,4.0,Broncos,Jim Turner 33 yard field goal,13,27
8,4.0,Broncos,Lonnie Perrin 9 yard rush (Jim Turner kick),13,34
9,4.0,Broncos,John Rowser 32 yard interception return (Jim Turner kick),13,41
10,4.0,Broncos,Randy Poltl 26 yard defensive fumble return (Jim Turner kick),13,48
