,Quarter,Time,Tm,Detail,CIN,HOU
0,1.0,12:42,Texans,Jacoby Jones 73 yard punt return (Kris Brown kick),0,7
1,1.0,6:24,Bengals,Shayne Graham 43 yard field goal,3,7
2,2.0,3:23,Texans,David Anderson 6 yard pass from Matt Schaub (Kris Brown kick),3,14
3,2.0,0:50,Bengals,Shayne Graham 32 yard field goal,6,14
4,3.0,9:19,Texans,Kevin Walter 7 yard pass from Matt Schaub (Kris Brown kick),6,21
5,3.0,6:30,Texans,Kevin Walter 39 yard pass from Matt Schaub (Kris Brown kick),6,28
6,4.0,9:54,Texans,Steve Slaton 20 yard rush (Kris Brown kick),6,35
