,Quarter,Tm,Detail,RAI,KAN
0,1.0,Chiefs,Nick Lowery 24 yard field goal,0,3
1,1.0,Chiefs,Boyce Green 18 yard rush (Nick Lowery kick),0,10
2,2.0,Chiefs,Paul Coffman 1 yard pass from Todd Blackledge (Nick Lowery kick),0,17
3,2.0,Raiders,Dokie Williams 12 yard pass from Marc Wilson (Chris Bahr kick),7,17
4,3.0,Raiders,Napoleon McCallum 12 yard rush (Chris Bahr kick),14,17
5,3.0,Raiders,Jessie Hester 18 yard pass from Jim Plunkett (Chris Bahr kick),21,17
6,4.0,Raiders,Chris Bahr 19 yard field goal,24,17
