,Quarter,Tm,Detail,BAL,DET
0,2.0,Lions,Lew Carpenter 5 yard rush (Doak Walker kick),0,7
1,2.0,Lions,Jug Girard 5 yard pass from Bobby Layne (Doak Walker kick),0,14
2,3.0,Lions,Dorne Dibble 45 yard pass from Bobby Layne (Doak Walker kick),0,21
3,3.0,Lions,Dorne Dibble 6 yard pass from Bobby Layne (Doak Walker kick),0,28
4,4.0,Lions,Jug Girard 41 yard pass from Tom Dublinski (Doak Walker kick),0,35
