,Quarter,Time,Tm,Detail,HOU,IND
0,1.0,14:06,Texans,Arian Foster 9 yard rush (Neil Rackers kick),7,0
1,1.0,4:38,Colts,Adam Vinatieri 23 yard field goal,7,3
2,1.0,2:01,Texans,Neil Rackers 44 yard field goal,10,3
3,2.0,3:36,Colts,Adam Vinatieri 32 yard field goal,10,6
4,3.0,10:25,Texans,Neil Rackers 35 yard field goal,13,6
5,3.0,0:54,Colts,Adam Vinatieri 47 yard field goal,13,9
6,4.0,6:48,Colts,Adam Vinatieri 31 yard field goal,13,12
7,4.0,1:56,Texans,Neil Rackers 31 yard field goal,16,12
8,4.0,0:19,Colts,Reggie Wayne 1 yard pass from Dan Orlovsky (Adam Vinatieri kick),16,19
