,Quarter,Time,Tm,Detail,WAS,KAN
0,1.0,,Chiefs,Marcus Allen 1 yard rush (Lin Elliott kick),0,7
1,2.0,,Chiefs,Willie Davis 19 yard pass from Steve Bono (Lin Elliott kick),0,14
2,2.0,,Redskins,Eddie Murray 29 yard field goal,3,14
3,2.0,,Chiefs,Lin Elliott 38 yard field goal,3,17
4,4.0,,Chiefs,Kimble Anders 40 yard rush (Lin Elliott kick),3,24
