,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chiefs,Dave Klug special teams fumble recovery in end zone (Nick Lowery kick),0,7
1,2.0,Chiefs,Nick Lowery 19 yard field goal,0,10
2,2.0,Chiefs,Nick Lowery 27 yard field goal,0,13
3,2.0,Chiefs,Nick Lowery 41 yard field goal,0,16
4,3.0,Chargers,Wes Chandler 17 yard pass from Chuck Muncie (Rolf Benirschke kick),7,16
5,3.0,Chargers,"Safety, illegal block in end zone",9,16
6,3.0,Chiefs,Nick Lowery 34 yard field goal,9,19
7,4.0,Chargers,Rolf Benirschke 49 yard field goal,12,19
