,Quarter,Tm,Detail,NYG,NYY
0,1.0,Giants,Ben Agajanian 27 yard field goal,3,0
1,1.0,Giants,Joe Scott 3 yard rush (Ben Agajanian kick),10,0
2,2.0,Bulldogs,Phil Slosburg 1 yard rush (Nick Scollard kick),10,7
3,2.0,Bulldogs,Dean Sensanbaugher 1 yard rush (Nick Scollard kick),10,14
4,3.0,Giants,Gene Roberts 1 yard rush (Ben Agajanian kick),17,14
5,3.0,Giants,Gene Roberts 1 yard rush (Ben Agajanian kick),24,14
6,4.0,Giants,Al DeRogatis interception in end zone (Ben Agajanian kick),31,14
7,4.0,Giants,Gene Roberts 7 yard rush (Ben Agajanian kick),38,14
