,Quarter,Tm,Detail,CIN,CLE
0,1.0,Bengals,Horst Muhlmann 50 yard field goal,3,0
1,1.0,Bengals,Jess Phillips 2 yard rush (Horst Muhlmann kick),10,0
2,1.0,Browns,"Safety, Johnson tackled Carter in end zone",10,2
3,2.0,Browns,Leroy Kelly 3 yard pass from Bill Nelsen (Don Cockroft kick),10,9
4,2.0,Bengals,Royce Berry 58 yard defensive fumble return (Horst Muhlmann kick),17,9
5,2.0,Browns,Milt Morin 4 yard pass from Bill Nelsen (Don Cockroft kick),17,16
6,3.0,Bengals,Horst Muhlmann 23 yard field goal,20,16
7,4.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),20,23
8,4.0,Browns,Bo Scott 1 yard rush (Don Cockroft kick),20,30
9,4.0,Bengals,Speedy Thomas 16 yard pass from Virgil Carter (Horst Muhlmann kick),27,30
