,Quarter,Tm,Detail,SEA,MIA
0,1.0,Seahawks,Norm Johnson 24 yard field goal,3,0
1,1.0,Dolphins,Pete Stoyanovich 32 yard field goal,3,3
2,2.0,Seahawks,Derrick Fenner 2 yard rush (Norm Johnson kick),10,3
3,2.0,Dolphins,James Pruitt 4 yard pass from Dan Marino (Pete Stoyanovich kick),10,10
4,2.0,Dolphins,Troy Stradford 6 yard rush (Pete Stoyanovich kick),10,17
5,3.0,Dolphins,Ferrell Edmunds 11 yard pass from Dan Marino (Pete Stoyanovich kick),10,24
6,4.0,Seahawks,Jeff Chadwick 13 yard pass from Dave Krieg (Norm Johnson kick),17,24
