,Quarter,Tm,Detail,NYG,PIT
0,1.0,Steelers,Lynn Chandnois 91 yard kickoff return (Gary Kerkorian kick),0,7
1,1.0,Steelers,Lynn Chandnois 5 yard rush (Gary Kerkorian kick),0,14
2,2.0,Steelers,Elbie Nickel 21 yard pass from Jim Finks (Gary Kerkorian kick),0,21
3,2.0,Steelers,Ray Mathews 42 yard pass from Jim Finks (Gary Kerkorian kick),0,28
4,3.0,Steelers,Dick Hensley 25 yard pass from Jim Finks (Gary Kerkorian kick),0,35
5,3.0,Giants,Bill Stribling 55 yard pass from Tom Landry (Ray Poole kick),7,35
6,4.0,Steelers,Dick Hensley 60 yard pass from Jim Finks (Gary Kerkorian kick),7,42
7,4.0,Steelers,George Hays 3 yard blocked punt return (Ray Mathews kick),7,49
8,4.0,Steelers,Jack Butler 20 yard pass from Gary Kerkorian (Gary Kerkorian kick),7,56
9,4.0,Steelers,Ed Modzelewski 3 yard rush (Gary Kerkorian kick),7,63
