,Quarter,Time,Tm,Detail,SDG,PIT
0,1.0,,Steelers,Bam Morris 1 yard rush (Norm Johnson kick),0,7
1,1.0,,Steelers,Willie Williams 63 yard interception return (Norm Johnson kick),0,14
2,1.0,,Steelers,Alvoid Mays 32 yard interception return (Norm Johnson kick),0,21
3,2.0,,Steelers,Norm Johnson 25 yard field goal,0,24
4,2.0,,Chargers,Natrone Means 13 yard rush (pass failed),6,24
5,2.0,,Steelers,Bam Morris 2 yard rush (Norm Johnson kick),6,31
6,3.0,,Chargers,Tony Martin 19 yard pass from Stan Humphries (John Carney kick),13,31
7,4.0,,Chargers,John Carney 28 yard field goal,16,31
