,Quarter,Tm,Detail,DEN,SDG
0,1.0,Chargers,Chuck Muncie 14 yard rush (Rolf Benirschke kick),0,7
1,1.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),0,14
2,2.0,Broncos,Larry Canada 4 yard rush (Fred Steinfort kick),7,14
3,2.0,Chargers,Chuck Muncie 4 yard rush,7,20
4,2.0,Broncos,Fred Steinfort 21 yard field goal,10,20
5,2.0,Chargers,Chuck Muncie 3 yard rush (Rolf Benirschke kick),10,27
6,3.0,Chargers,Eric Sievers 1 yard pass from Dan Fouts (Rolf Benirschke kick),10,34
7,4.0,Broncos,Haven Moses 10 yard pass from Steve DeBerg (Fred Steinfort kick),17,34
