,Quarter,Time,Tm,Detail,SFO,ATL
0,1.0,,49ers,Jerry Rice offensive fumble recovery in end zone (Jeff Wilkins kick),7,0
1,1.0,,Falcons,Morten Andersen 52 yard field goal,7,3
2,1.0,,49ers,J.J. Stokes 41 yard pass from Jerry Rice (Jeff Wilkins kick),14,3
3,2.0,,Falcons,Eric Metcalf 12 yard pass from Jeff George (Morten Andersen kick),14,10
4,2.0,,49ers,Derek Loville 1 yard rush (Jeff Wilkins kick),21,10
5,2.0,,Falcons,Morten Andersen 28 yard field goal,21,13
6,2.0,,Falcons,Morten Andersen 59 yard field goal,21,16
7,3.0,,Falcons,Terance Mathis 7 yard pass from Bobby Hebert (pass failed),21,22
8,4.0,,49ers,Jeff Wilkins 39 yard field goal,24,22
9,4.0,,49ers,Jeff Wilkins 32 yard field goal,27,22
10,4.0,,Falcons,Terance Mathis 37 yard pass from Bobby Hebert (pass failed),27,28
