,Quarter,Time,Tm,Detail,STL,SEA
0,1.0,9:50,Seahawks,Malcolm Smith 37 yard interception return (Stephen Hauschka kick),0,7
1,2.0,6:14,Seahawks,Stephen Hauschka 28 yard field goal,0,10
2,2.0,0:03,Seahawks,Stephen Hauschka 35 yard field goal,0,13
3,3.0,10:49,Rams,Greg Zuerlein 36 yard field goal,3,13
4,3.0,2:21,Seahawks,Marshawn Lynch 2 yard rush (Stephen Hauschka kick),3,20
5,4.0,9:14,Seahawks,Golden Tate 47 yard pass from Russell Wilson (Stephen Hauschka kick),3,27
6,4.0,4:13,Rams,Jared Cook 2 yard pass from Kellen Clemens (pass failed),9,27
