,Quarter,Tm,Detail,ATL,CIN
0,1.0,Bengals,Chris Bahr 32 yard field goal,0,3
1,2.0,Falcons,Ricky Patton 1 yard rush (Tim Mazzetti kick),7,3
2,2.0,Bengals,Pete Johnson 3 yard rush (Chris Bahr kick),7,10
3,3.0,Bengals,Scott Perry 39 yard interception return,7,16
4,3.0,Bengals,Dick Jauron 24 yard interception return (Chris Bahr kick),7,23
5,4.0,Bengals,Pete Johnson 50 yard rush (Chris Bahr kick),7,30
6,4.0,Bengals,Tony Davis 32 yard rush (Chris Bahr kick),7,37
