,Quarter,Tm,Detail,AKR,POT
0,1.0,Maroons,Barney Wentz 1 yard rush (Jim Welsh kick),0,7
1,1.0,Maroons,Barney Wentz 1 yard rush (Jim Welsh kick),0,14
2,2.0,Maroons,Barney Wentz 3 yard rush,0,20
3,3.0,Maroons,Charlie Berry unknown yard pass from Jesse Brown (Jim Welsh kick),0,27
4,4.0,Maroons,Charlie Berry fumble recovery in end zone (Jim Welsh kick),0,34
