,Quarter,Time,Tm,Detail,SFO,CHI
0,1.0,12:05,Bears,Robbie Gould 43 yard field goal,0,3
1,1.0,10:39,Bears,Thomas Jones 7 yard rush (Robbie Gould kick),0,10
2,1.0,1:55,Bears,Muhsin Muhammad 5 yard pass from Rex Grossman (Robbie Gould kick),0,17
3,1.0,1:02,Bears,Cedric Benson 1 yard rush (Robbie Gould kick),0,24
4,2.0,10:33,Bears,Desmond Clark 1 yard pass from Rex Grossman (Robbie Gould kick),0,31
5,2.0,3:15,Bears,Robbie Gould 36 yard field goal,0,34
6,2.0,0:10,Bears,Desmond Clark 27 yard pass from Rex Grossman (Robbie Gould kick),0,41
7,4.0,11:35,49ers,Joe Nedney 23 yard field goal,3,41
8,4.0,6:49,49ers,Antonio Bryant 16 yard pass from Alex Smith (Joe Nedney kick),10,41
