,Quarter,Tm,Detail,WAS,PIT
0,1.0,Redskins,Johnny Williams 62 yard punt return (Eddie LeBaron kick),7,0
1,1.0,Redskins,Leon Heath 1 yard rush (Eddie LeBaron kick),14,0
2,1.0,Steelers,Elbie Nickel 6 yard pass from Jim Finks (Gary Kerkorian kick),14,7
3,2.0,Steelers,Gary Kerkorian 36 yard field goal,14,10
4,2.0,Steelers,George Hays 1 yard interception return (Gary Kerkorian kick),14,17
5,3.0,Redskins,Hugh Taylor 11 yard pass from Harry Gilmer (Eddie LeBaron kick),21,17
6,4.0,Steelers,Elbie Nickel 36 yard pass from Jim Finks (Gary Kerkorian kick),21,24
7,4.0,Redskins,Hugh Taylor 43 yard pass from Eddie LeBaron (Eddie LeBaron kick),28,24
