,Quarter,Time,Tm,Detail,NWE,TAM
0,1.0,,Buccaneers,Errict Rhett 1 yard rush (Michael Husted kick),0,7
1,2.0,,Buccaneers,Michael Husted 44 yard field goal,0,10
2,3.0,,Buccaneers,Dave Moore 7 yard pass from Trent Dilfer (Michael Husted kick),0,17
3,4.0,,Buccaneers,Mike Alstott 1 yard rush (Michael Husted kick),0,24
4,4.0,,Buccaneers,Michael Husted 44 yard field goal,0,27
5,4.0,,Patriots,Lovett Purnell 6 yard pass from Scott Zolak (Adam Vinatieri kick),7,27
