,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,8:39,Dolphins,Olindo Mare 30 yard field goal,0,3
1,1.0,1:50,Bills,Steve Christie 45 yard field goal,3,3
2,2.0,6:26,Dolphins,Olindo Mare 33 yard field goal,3,6
3,2.0,1:51,Dolphins,Leslie Shepherd 20 yard pass from Jay Fiedler (Olindo Mare kick),3,13
4,3.0,10:38,Dolphins,"Safety,",3,15
5,4.0,12:01,Bills,Steve Christie 23 yard field goal,6,15
6,4.0,8:34,Bills,Sammy Morris 3 yard rush (Steve Christie kick),13,15
7,4.0,4:45,Dolphins,Sam Madison 20 yard defensive fumble return (Olindo Mare kick),13,22
