,Quarter,Tm,Detail,CIN,RAI
0,2.0,Bengals,Jim Breech 27 yard field goal,3,0
1,2.0,Raiders,Mervyn Fernandez 13 yard pass from Jay Schroeder (Jeff Jaeger kick),3,7
2,3.0,Raiders,Jeff Jaeger 49 yard field goal,3,10
3,4.0,Bengals,Stanford Jennings 8 yard pass from Boomer Esiason (Jim Breech kick),10,10
4,4.0,Raiders,Ethan Horton 41 yard pass from Jay Schroeder (Jeff Jaeger kick),10,17
5,4.0,Raiders,Jeff Jaeger 25 yard field goal,10,20
