,Quarter,Time,Tm,Detail,BUF,NYG
0,1.0,5:20,Giants,Ahmad Bradshaw 1 yard rush (Lawrence Tynes kick),0,7
1,1.0,5:06,Bills,Fred Jackson 80 yard rush (Rian Lindell kick),7,7
2,1.0,0:24,Bills,Naaman Roosevelt 60 yard pass from Ryan Fitzpatrick (Rian Lindell kick),14,7
3,2.0,9:51,Giants,Lawrence Tynes 26 yard field goal,14,10
4,2.0,2:58,Giants,Ahmad Bradshaw 1 yard rush (Lawrence Tynes kick),14,17
5,2.0,0:39,Bills,Rian Lindell 49 yard field goal,17,17
6,3.0,6:53,Giants,Ahmad Bradshaw 1 yard rush (Lawrence Tynes kick),17,24
7,4.0,8:57,Bills,Steve Johnson 9 yard pass from Ryan Fitzpatrick (Rian Lindell kick),24,24
8,4.0,1:32,Giants,Lawrence Tynes 23 yard field goal,24,27
