,Quarter,Time,Tm,Detail,SFO,SDG
0,1,0:40,Chargers,Reche Caldwell 4 yard pass from Drew Brees (Steve Christie kick),0,7
1,2,1:04,49ers,Terrell Owens 32 yard pass from Jeff Garcia (Jose Cortez kick),7,7
2,3,14:06,49ers,Terrell Owens 76 yard pass from Jeff Garcia (Jose Cortez kick),14,7
3,3,6:38,49ers,Jose Cortez 24 yard field goal,17,7
4,4,5:05,Chargers,Steve Christie 36 yard field goal,17,10
5,4,0:31,Chargers,Fred McCrary 1 yard pass from Drew Brees (Steve Christie kick),17,17
6,OT,4:11,Chargers,Steve Christie 40 yard field goal,17,20
